datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2015-05-09,1431104400,94.0,76.6,85.1,102.0,76.6,91.1,73.2,68.8,0.1,100.0,45.83,['rain'],,,,18.7,206.9,1007.6,46.7,6.2,228.9,19.9,8.0,05:32:36,1431124356,18:06:52,1431169612,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-10,1431190800,96.8,80.6,88.2,104.8,85.3,96.2,73.5,62.9,0.004,100.0,4.17,['rain'],,,,10.1,216.0,1007.6,50.3,6.2,301.7,26.1,10.0,05:32:20,1431210740,18:07:03,1431256023,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-11,1431277200,95.7,82.3,87.9,104.2,89.4,97.3,74.9,66.3,0.04,100.0,41.67,['rain'],,,,9.6,186.1,1008.4,52.0,6.2,298.6,25.9,10.0,05:32:04,1431297124,18:07:14,1431342434,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-12,1431363600,91.2,80.6,84.8,101.5,86.1,93.1,75.2,73.5,0.088,100.0,45.83,['rain'],,,,8.3,187.5,1009.1,62.5,5.9,258.3,22.3,9.0,05:31:50,1431383510,18:07:26,1431428846,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS', 'remote']",obs
2015-05-13,1431450000,95.0,78.8,85.8,104.3,78.8,92.0,74.2,70.1,0.0,0.0,0.0,,,,,11.9,129.4,1009.3,42.0,5.5,303.4,26.2,10.0,05:31:35,1431469895,18:07:38,1431515258,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-14,1431536400,94.3,78.8,87.0,103.5,78.8,93.7,73.2,65.0,0.0,0.0,0.0,,,,,10.8,149.5,1010.4,34.1,6.4,308.9,26.8,10.0,05:31:22,1431556282,18:07:50,1431601670,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-15,1431622800,96.1,80.6,86.5,104.5,86.1,94.8,74.5,68.9,0.0,0.0,0.0,,,,28.9,17.6,170.9,1010.4,46.2,6.0,303.9,26.3,10.0,05:31:10,1431642670,18:08:03,1431688083,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-16,1431709200,96.0,81.3,87.1,105.1,87.5,96.1,75.1,68.7,0.0,0.0,0.0,,,,,9.6,180.2,1008.9,51.5,6.2,296.8,25.6,10.0,05:30:58,1431729058,18:08:16,1431774496,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-17,1431795600,95.3,79.5,86.1,106.9,79.5,93.7,74.7,70.2,0.004,100.0,4.17,['rain'],,,,11.0,212.9,1008.0,59.9,5.9,276.2,23.8,9.0,05:30:47,1431815447,18:08:29,1431860909,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
2015-05-18,1431882000,96.8,80.6,87.8,105.4,87.1,96.3,74.4,66.9,0.031,100.0,4.17,['rain'],,,,11.0,200.8,1008.1,56.1,6.0,257.9,22.2,8.0,05:30:37,1431901837,18:08:43,1431947323,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
